time,distance,speed,RPM,mileage,error
14,217,54,1445,2904218,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
2422,52486,77,979,122677,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
38,874,46,3069,12919,Engine Coolant Temperature Circuit Malfunction
793,7294,32,1292,105964397,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
3,81,53,1267,134759915,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
95,555,54,1851,134759079,Engine Coolant Temperature Circuit Malfunction
71,625,31,707,233787,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
39,87,8,2448,134759763,Engine Coolant Temperature Circuit Malfunction
95,555,54,1851,134759079,Engine Coolant Temperature Circuit Malfunction
608,7602,44,1409,113265,Engine Coolant Temperature Circuit Malfunction
120,601,17,860,862064,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
2,25,58,2807,134759942,Engine Coolant Temperature Circuit Malfunction
793,7294,32,1292,105964397,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
2,37,39,2199,2410791,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
1121,17926,32,1870,105964397,Engine Coolant Temperature Circuit Malfunction
240,532,8,2183,134759611,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
608,7602,44,1409,113265,Engine Coolant Temperature Circuit Malfunction
4,65,49,1363,2904000,Engine Coolant Temperature Circuit Malfunction
3,81,53,1267,134759915,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
3,81,53,1267,134759915,Engine Coolant Temperature Circuit Malfunction
608,7602,44,1409,113265,Engine Coolant Temperature Circuit Malfunction
26,57,8,1842,134759675,Engine Coolant Temperature Circuit Malfunction
1121,17926,32,1870,105964397,Engine Coolant Temperature Circuit Malfunction
3,41,39,1553,3154,Engine Coolant Temperature Circuit Malfunction
25,264,38,2547,511634746,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
1121,17926,32,1870,105964397,Engine Coolant Temperature Circuit Malfunction
21,122,20,371,862802,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
8,17,8,963,134759781,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
1121,17926,32,1870,105964397,Engine Coolant Temperature Circuit Malfunction
793,7294,32,1292,105964397,Engine Coolant Temperature Circuit Malfunction
793,7294,32,1292,105964397,Engine Coolant Temperature Circuit Malfunction
1121,17926,32,1870,105964397,Engine Coolant Temperature Circuit Malfunction
16,159,33,733,39372,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
21,765,54,858,13712,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
608,7602,44,1409,113265,Engine Coolant Temperature Circuit Malfunction
3,81,53,1267,134759915,Engine Coolant Temperature Circuit Malfunction
10,404,79,1439,1229534,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
123,2763,57,3984,2404823,Engine Coolant Temperature Circuit Malfunction
173,3390,65,2630,2409940,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
1121,17926,32,1870,105964397,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
2,19,25,3344,144425,Engine Coolant Temperature Circuit Malfunction
3,81,53,1267,134759915,Engine Coolant Temperature Circuit Malfunction
3,81,53,1267,134759915,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
1,8,38,2155,2405411,Engine Coolant Temperature Circuit Malfunction
6,163,81,4086,862229,Engine Coolant Temperature Circuit Malfunction
26,57,8,1842,134759675,Engine Coolant Temperature Circuit Malfunction
25,264,38,2547,511634746,Engine Coolant Temperature Circuit Malfunction
1861,24352,41,1211,379154,Engine Coolant Temperature Circuit Malfunction
608,7602,44,1409,113265,Engine Coolant Temperature Circuit Malfunction
39,87,8,2448,134759763,Engine Coolant Temperature Circuit Malfunction
3,81,53,1267,134759915,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
793,7294,32,1292,105964397,Engine Coolant Temperature Circuit Malfunction
11,449,145,6288,862678,Engine Coolant Temperature Circuit Malfunction
21,122,20,371,862802,Engine Coolant Temperature Circuit Malfunction
793,7294,32,1292,105964397,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
39,87,8,2448,134759763,Engine Coolant Temperature Circuit Malfunction
6,86,38,1861,134761734,Engine Coolant Temperature Circuit Malfunction
559,2962,18,1614,884074,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
14,217,54,1445,2904218,Engine Coolant Temperature Circuit Malfunction
2,25,58,2807,134759942,Engine Coolant Temperature Circuit Malfunction
442,6414,31,1478,2399185,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
67,757,39,879,2464,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
10,404,79,1439,1229534,Engine Coolant Temperature Circuit Malfunction
608,7602,44,1409,113265,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
95,555,54,1851,134759079,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
328,10632,32,2448,154411,Engine Coolant Temperature Circuit Malfunction
608,7602,44,1409,113265,Engine Coolant Temperature Circuit Malfunction
16,461,81,2895,134758479,Engine Coolant Temperature Circuit Malfunction
2,41,51,2304,134759831,Engine Coolant Temperature Circuit Malfunction
2,25,58,2807,134759942,Engine Coolant Temperature Circuit Malfunction
2325,60628,103,2983,22107,O2 Sensor Circuit Slow Response (Bank 1 Sensor 2)
167,806,20,1093,2463958,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 3)
167,806,20,1093,2463958,Fuel Delivery Error
167,806,20,1093,2463958,Fuel Delivery Error
167,806,20,1093,2463958,Fuel Delivery Error
167,806,20,1093,2463958,Engine Oil Temperature Sensor Range/Performance
30413,19726,73,3022,49807,Injector Circuit Malfunction - Cylinder 12
26,57,8,1842,134759675,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
25,264,38,2547,511634746,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
67,757,39,879,2464,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
10,404,79,1439,1229534,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
559,2962,18,1614,884074,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
442,6414,31,1478,2399185,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
21,122,20,371,862802,Fuel Pump Primary Circuit Malfunction
8,17,8,963,134759781,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
2,25,58,2807,134759942,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
11,449,145,6288,862678,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
3,81,53,1267,134759915,Fuel Pump Primary Circuit Malfunction
29,576,64,2991,2405402,Fuel Pump Primary Circuit Malfunction
123,2763,57,3984,2404823,Fuel Pump Primary Circuit Malfunction
25,264,38,2547,511634746,Fuel Pump Primary Circuit Malfunction
39,87,8,2448,134759763,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
6,163,81,4086,862229,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
2,25,58,2807,134759942,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
3,81,53,1267,134759915,Fuel Pump Primary Circuit Malfunction
2,19,25,3344,144425,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
95,555,54,1851,134759079,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
16,159,33,733,39372,Fuel Pump Primary Circuit Malfunction
21,765,54,858,13712,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
2,37,39,2199,2410791,Fuel Pump Primary Circuit Malfunction
2422,52486,77,979,122677,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
38,874,46,3069,12919,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
14,217,54,1445,2904218,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
240,532,8,2183,134759611,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
3,81,53,1267,134759915,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
4,65,49,1363,2904000,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
3,81,53,1267,134759915,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
3,41,39,1553,3154,Fuel Pump Primary Circuit Malfunction
39,87,8,2448,134759763,Fuel Pump Primary Circuit Malfunction
1,8,38,2155,2405411,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
1861,24352,41,1211,379154,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
26,57,8,1842,134759675,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
21,122,20,371,862802,Fuel Pump Primary Circuit Malfunction
39,87,8,2448,134759763,Fuel Pump Primary Circuit Malfunction
2,25,58,2807,134759942,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
3,81,53,1267,134759915,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
2,25,58,2807,134759942,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
120,601,17,860,862064,Fuel Pump Primary Circuit Malfunction
95,555,54,1851,134759079,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
1121,17926,32,1870,105964397,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
608,7602,44,1409,113265,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
14,217,54,1445,2904218,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
8,17,8,963,134759781,Fuel Pump Primary Circuit Malfunction
3,81,53,1267,134759915,Fuel Pump Primary Circuit Malfunction
173,3390,65,2630,2409940,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
39,87,8,2448,134759763,Fuel Pump Primary Circuit Malfunction
11,449,145,6288,862678,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
3,81,53,1267,134759915,Fuel Pump Primary Circuit Malfunction
6,86,38,1861,134761734,Fuel Pump Primary Circuit Malfunction
793,7294,32,1292,105964397,Fuel Pump Primary Circuit Malfunction
95,555,54,1851,134759079,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
328,10632,32,2448,154411,Fuel Pump Primary Circuit Malfunction
10,404,79,1439,1229534,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
71,625,31,707,233787,Fuel Pump Primary Circuit Malfunction
2,41,51,2304,134759831,Fuel Pump Primary Circuit Malfunction
16,461,81,2895,134758479,Fuel Pump Primary Circuit Malfunction
167,806,20,1093,2463958,Engine Overboost Condition
1164,16843,79,1333,99028173,Turbocharger Boost Sensor A Circuit Range/Performance
1164,16843,79,1333,99028173,Turbocharger Boost Sensor A Circuit High
1164,16843,79,1333,99028173,Turbocharger Boost Sensor A Circuit High
1164,16843,79,1333,99028173,Turbocharger Boost Sensor A Circuit High
881,15382,61,1502,19682,Turbocharger Wastegate Solenoid A low
39259,75772,72,3590,48448,Cylinder 2 Injector Circuit Low
11048,45845,52,4619,51182,Crankshaft Position System Variation Not Learned
7823,60312,63,4564,47791,Knock Control System Error
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
6,86,38,1861,134761734,Ignition Coil Primary/Secondary Circuit Malfunction
2,41,51,2304,134759831,Ignition Coil Primary/Secondary Circuit Malfunction
95,555,54,1851,134759079,Ignition Coil Primary/Secondary Circuit Malfunction
10,404,79,1439,1229534,Ignition Coil Primary/Secondary Circuit Malfunction
3,81,53,1267,134759915,Ignition Coil Primary/Secondary Circuit Malfunction
6,86,38,1861,134761734,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
793,7294,32,1292,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
14,217,54,1445,2904218,Ignition Coil Primary/Secondary Circuit Malfunction
2422,52486,77,979,122677,Ignition Coil Primary/Secondary Circuit Malfunction
793,7294,32,1292,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
6,86,38,1861,134761734,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
38,874,46,3069,12919,Ignition Coil Primary/Secondary Circuit Malfunction
39,87,8,2448,134759763,Ignition Coil Primary/Secondary Circuit Malfunction
11,449,145,6288,862678,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
2,41,51,2304,134759831,Ignition Coil Primary/Secondary Circuit Malfunction
10,404,79,1439,1229534,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
71,625,31,707,233787,Ignition Coil Primary/Secondary Circuit Malfunction
120,601,17,860,862064,Ignition Coil Primary/Secondary Circuit Malfunction
2,25,58,2807,134759942,Ignition Coil Primary/Secondary Circuit Malfunction
608,7602,44,1409,113265,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
6,163,81,4086,862229,Ignition Coil Primary/Secondary Circuit Malfunction
26,57,8,1842,134759675,Ignition Coil Primary/Secondary Circuit Malfunction
608,7602,44,1409,113265,Ignition Coil Primary/Secondary Circuit Malfunction
2,41,51,2304,134759831,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
2,41,51,2304,134759831,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
2,41,51,2304,134759831,Ignition Coil Primary/Secondary Circuit Malfunction
21,122,20,371,862802,Ignition Coil Primary/Secondary Circuit Malfunction
8,17,8,963,134759781,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
1121,17926,32,1870,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
793,7294,32,1292,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
1,8,38,2155,2405411,Ignition Coil Primary/Secondary Circuit Malfunction
95,555,54,1851,134759079,Ignition Coil Primary/Secondary Circuit Malfunction
21,765,54,858,13712,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
16,159,33,733,39372,Ignition Coil Primary/Secondary Circuit Malfunction
3,81,53,1267,134759915,Ignition Coil Primary/Secondary Circuit Malfunction
3,81,53,1267,134759915,Ignition Coil Primary/Secondary Circuit Malfunction
1121,17926,32,1870,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
6,86,38,1861,134761734,Ignition Coil Primary/Secondary Circuit Malfunction
793,7294,32,1292,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
2,19,25,3344,144425,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
26,57,8,1842,134759675,Ignition Coil Primary/Secondary Circuit Malfunction
559,2962,18,1614,884074,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
608,7602,44,1409,113265,Ignition Coil Primary/Secondary Circuit Malfunction
8,17,8,963,134759781,Ignition Coil Primary/Secondary Circuit Malfunction
1121,17926,32,1870,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
6,86,38,1861,134761734,Ignition Coil Primary/Secondary Circuit Malfunction
442,6414,31,1478,2399185,Ignition Coil Primary/Secondary Circuit Malfunction
2,41,51,2304,134759831,Ignition Coil Primary/Secondary Circuit Malfunction
16,461,81,2895,134758479,Ignition Coil Primary/Secondary Circuit Malfunction
39,87,8,2448,134759763,Ignition Coil Primary/Secondary Circuit Malfunction
1121,17926,32,1870,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
6,86,38,1861,134761734,Ignition Coil Primary/Secondary Circuit Malfunction
2,41,51,2304,134759831,Ignition Coil Primary/Secondary Circuit Malfunction
328,10632,32,2448,154411,Ignition Coil Primary/Secondary Circuit Malfunction
205,4011,61,2584,2410791,Ignition Coil Primary/Secondary Circuit Malfunction
2,37,39,2199,2410791,Ignition Coil Primary/Secondary Circuit Malfunction
1121,17926,32,1870,105964397,Ignition Coil Primary/Secondary Circuit Malfunction
